Nivel,CodIBGE,Municipio,2007,2009,2011,2013,2015,2017
MU,1600600,Santana (AP),786609,982754,1274490,1819411,1936602,1909860
MU,1600709,Tartarugalzinho (AP),77253,102254,112856,194912,165606,202004
MU,1600808,Vitória do Jari (AP),70864,91667,110385,151064,147967,184443
MU,1700251,Abreulândia (TO),11405,14973,18710,26613,37328,56177
MU,1700301,Aguiarnópolis (TO),34357,58659,65391,107771,109236,120925
MU,1700350,Aliança do Tocantins (TO),27631,41793,51979,63294,73158,114813
MU,1700400,Almas (TO),35436,52338,73074,93826,119955,150013
MU,1700707,Alvorada (TO),69828,121002,214031,218020,231814,325873
MU,1701002,Ananás (TO),44088,54407,69441,85113,89900,122460
MU,1701051,Angico (TO),14398,25339,20737,28697,40468,35291
MU,1701101,Aparecida do Rio Negro (TO),18909,30363,47884,59320,71286,90878
MU,1701309,Aragominas (TO),22969,30946,40141,49741,58663,63046
MU,1701903,Araguacema (TO),23242,32645,45328,58672,74800,132052
MU,1702000,Araguaçu (TO),64121,84412,102934,121562,158036,183886
MU,1702109,Araguaína (TO),1201391,1695273,2139828,2887139,3442013,4013612
MU,1702158,Araguanã (TO),23461,33149,41164,50347,58972,64247
MU,1702208,Araguatins (TO),105253,141597,202268,286238,329820,383398
MU,1702307,Arapoema (TO),40477,51879,62901,78412,96251,98066
MU,1702406,Arraias (TO),57559,105839,102544,157478,129116,157609
MU,1702554,Augustinópolis (TO),65166,88956,118462,165829,190943,230464
MU,1702703,Aurora do Tocantins (TO),14761,20893,24915,31699,37445,40714
MU,1702901,Axixá do Tocantins (TO),35248,47490,58117,79718,92032,102604
MU,1703008,Babaçulândia (TO),37555,55080,61868,84676,92000,102479
MU,1703057,Bandeirantes do Tocantins (TO),26532,40203,70020,83175,86779,68399
MU,1703073,Barra do Ouro (TO),14138,20491,30163,44373,48748,46019
MU,1703107,Barrolândia (TO),27823,36475,46217,53920,61091,81181
MU,1703206,Bernardo Sayão (TO),27242,37186,41943,50558,64822,76826
MU,1703305,Bom Jesus do Tocantins (TO),14606,25409,32780,45052,60935,63091
MU,1703602,Brasilândia do Tocantins (TO),16881,20723,21270,31570,39755,37109
MU,1703701,Brejinho de Nazaré (TO),32528,45022,64337,77799,95909,153703
MU,1703800,Buriti do Tocantins (TO),29106,39384,53910,66688,76159,93244
MU,1703826,Cachoeirinha (TO),8601,11586,13908,17929,22182,25677
MU,1703842,Campos Lindos (TO),93983,147049,205546,286958,314383,289334
MU,1703867,Cariri do Tocantins (TO),43541,56955,91632,127304,286391,332889
MU,1703883,Carmolândia (TO),12984,18719,22854,30244,32234,35273
MU,1703891,Carrasco Bonito (TO),12087,16387,21246,27368,30620,37272
MU,1703909,Caseara (TO),17862,27266,34014,56380,64811,131434
MU,1704105,Centenário (TO),11536,14800,17161,20081,28078,32675
MU,1704600,Chapada de Areia (TO),6562,9703,12499,15411,19606,25999
MU,1705102,Chapada da Natividade (TO),18206,27128,31174,43802,60989,65866
MU,1705508,Colinas do Tocantins (TO),272021,271609,351447,472128,577208,657821
MU,1705557,Combinado (TO),22088,27684,36548,47370,53659,63689
MU,1705607,Conceição do Tocantins (TO),17289,22725,28013,35732,41708,48406
MU,1706001,Couto Magalhães (TO),25892,37146,40695,55500,76717,91988
MU,1706100,Cristalândia (TO),36313,52729,61109,82712,98549,105141
MU,1706258,Crixás do Tocantins (TO),11236,15606,20520,25061,37604,41319
MU,1706506,Darcinópolis (TO),23645,36271,45196,66302,73666,131821
