 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Abr/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"220320 Curimatá";93;93;94956,86;75360,57;-;-;19596,29;-;-;1021,04;1021,04;392;4,2;4;4,30
"220330 Demerval Lobão";99;99;108955,42;87189,53;-;-;21765,89;-;-;1100,56;1100,56;363;3,7;2;2,02
"220350 Elesbão Veloso";30;30;19896,40;16161,25;-;-;3735,15;-;-;663,21;663,21;110;3,7;-;-
"220370 Esperantina";244;244;206331,78;154371,92;-;-;51959,86;-;-;845,62;845,62;578;2,4;19;7,79
"220430 Fronteiras";188;188;111825,51;100003,19;-;-;11822,32;-;-;594,82;594,82;624;3,3;-;-
"220450 Guadalupe";28;28;13125,00;11396,51;-;-;1728,49;-;-;468,75;468,75;100;3,6;2;7,14
"220470 Inhuma";11;11;9740,82;7918,94;-;-;1821,88;-;-;885,53;885,53;37;3,4;-;-
"220510 Itaueira";34;34;39001,90;30819,26;-;-;8182,64;-;-;1147,11;1147,11;175;5,1;3;8,82
"220520 Jaicós";120;120;44227,05;36711,79;-;-;7515,26;-;-;368,56;368,56;242;2,0;-;-
"220540 Joaquim Pires";1;1;360,80;310,79;-;-;50,01;-;-;360,80;360,80;6;6,0;-;-
"220550 José de Freitas";100;100;62215,90;51613,90;-;-;10602,00;-;-;622,16;622,16;410;4,1;-;-
"220570 Luís Correia";10;10;1908,65;1596,15;-;-;312,50;-;-;190,87;190,87;30;3,0;-;-
"220580 Luzilândia";100;100;90734,37;73129,71;-;-;17604,66;-;-;907,34;907,34;514;5,1;-;-
"220590 Manoel Emídio";16;16;9010,87;7157,92;-;-;1852,95;-;-;563,18;563,18;45;2,8;-;-
"220620 Miguel Alves";112;112;62234,73;53483,33;-;-;8751,40;-;-;555,67;555,67;276;2,5;-;-
"220650 Monsenhor Hipólito";26;26;6894,39;5923,87;-;-;970,52;-;-;265,17;265,17;59;2,3;-;-
